epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
106,10312.1,0.84598,0.54758,0.01321,0.86344,0.81582,0.87039,0.63548,1.14582,0.85409,0.02755,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,10414.9,0.8477,0.53106,0.01331,0.87389,0.80938,0.86932,0.6337,1.16432,0.85755,0.02845,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,10518.2,0.84208,0.51752,0.01311,0.83845,0.81425,0.86405,0.63072,1.16968,0.87609,0.02846,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,10621.4,0.84708,0.54443,0.01317,0.83637,0.83193,0.8715,0.63973,1.14311,0.83157,0.02776,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,10725.1,0.84333,0.53542,0.01304,0.84352,0.82991,0.87221,0.6412,1.16638,0.8157,0.02814,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,10828.4,0.83117,0.53059,0.01289,0.88188,0.82102,0.88178,0.64299,1.17352,0.79831,0.0284,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,10931.9,0.82774,0.53181,0.01312,0.85913,0.83284,0.87842,0.63812,1.17609,0.81711,0.02852,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,11034.5,0.84095,0.5168,0.01294,0.83584,0.83724,0.87713,0.64361,1.15366,0.80909,0.02803,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,11137.1,0.81942,0.50978,0.01279,0.87437,0.81642,0.87541,0.63776,1.14494,0.86197,0.02755,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,11240.2,0.81018,0.51858,0.01264,0.8769,0.81818,0.8819,0.64254,1.13742,0.8172,0.0272,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,11343.6,0.80668,0.50576,0.0126,0.8671,0.81314,0.87692,0.63873,1.13706,0.87282,0.02724,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,11446.4,0.81218,0.50296,0.01266,0.86391,0.82258,0.88045,0.65017,1.12554,0.88245,0.02693,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,11549.6,0.81455,0.51541,0.01264,0.85446,0.81783,0.87493,0.64119,1.15692,0.86845,0.028,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,11653.1,0.81314,0.51801,0.01264,0.8473,0.83578,0.88148,0.65062,1.14744,0.86451,0.02722,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,11757.2,0.78722,0.48785,0.01225,0.87026,0.81637,0.8802,0.64731,1.14608,0.8411,0.02732,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
